Time,Variable,ExpData,SimulatedData,Std,Chi2,ModelIndex,DataIndex
7,CDK2_obs,0.0211581886002998,0.0272275742012857,0.0164877442355903,0.135508636779309,1,1
7,CDK4_obs,0.167478328941291,0.158938818706092,0.0430878006230182,0.039278715214746,1,1
7,CDKN1A_obs,0.469544143656298,0.496756322570114,0.0617858055236865,0.193976540313472,1,1
7,PCNA_obs,0.14130355921076,0.126359705554728,0.045743422024308,0.106725429310407,1,1
7,RB1_obs,0.166841863186105,0.159918646275302,0.0452045318127737,0.0234558905355904,1,1
7,TP53_obs,0.113617180795328,0.000197742312252596,0.0358412691935671,10.0140147125373,1,1
4,CDK2_obs,0.0258193014501911,0.0272787567002347,0.019079882441118,0.00585100106652445,1,2
4,CDK4_obs,0.145762024264336,0.159344180924298,0.0422391552023811,0.103396782284566,1,2
4,CDKN1A_obs,0.429428260638568,0.496636852589086,0.0655089947003418,1.05256209005458,1,2
4,PCNA_obs,0.158702982858089,0.132492258523262,0.0531670449106193,0.243037338727743,1,2
4,RB1_obs,0.160679193803305,0.156749336032255,0.0468019433675484,0.0070505970012804,1,2
4,TP53_obs,0.0810507331752185,0.0039708747141072,0.0313230021643796,6.05557038010166,1,2
10,CDK2_obs,0.0265912490008529,0.0272274391946172,0.0198469427160609,0.00102751154160151,1,3
10,CDK4_obs,0.138027381277865,0.159205784028543,0.0454242094208695,0.217376029191561,1,3
10,CDKN1A_obs,0.4048518043846,0.496756637744287,0.0699705661924169,1.72522573366198,1,3
10,PCNA_obs,0.104567276362321,0.126051814831045,0.0421112323094348,0.260289204607462,1,3
10,RB1_obs,0.148468001095493,0.158203878769115,0.0471145549227652,0.042701195244727,1,3
10,TP53_obs,0.102569900694419,9.87020947085256e-06,0.0380314345703261,7.27228461239383,1,3
2,CDK2_obs,0.0408858193847097,0.0299967946115561,0.0221315327414756,0.24207781278389,1,4
2,CDK4_obs,0.214053076917389,0.18758107385963,0.0379948355381895,0.4854276058449,1,4
2,CDKN1A_obs,0.595155728124594,0.490376441974187,0.0490640183101474,4.5606279355225,1,4
2,PCNA_obs,0.218381884837187,0.171260261606793,0.0475873059361409,0.980524043385581,1,4
2,RB1_obs,0.199864448926193,0.202423384069161,0.0416413498531213,0.00377632148030464,1,4
2,TP53_obs,0.144818153489866,0.0293418077897254,0.0421914386409583,7.49095857815922,1,4
1,CDK2_obs,0.0563864780983549,0.0608745309638759,0.0305817532583433,0.0215372955526124,1,5
1,CDK4_obs,0.291265506683007,0.264736990752393,0.0420892728529712,0.397267525029022,1,5
1,CDKN1A_obs,0.532947163433789,0.450216808786131,0.0427486503496766,3.74528573492668,1,5
1,PCNA_obs,0.218042833609474,0.235320872704428,0.0415601651737652,0.172836066906994,1,5
1,RB1_obs,0.24083713697394,0.238484721836631,0.0458691398195172,0.00263018767799748,1,5
1,TP53_obs,0.12452416241949,0.0797593020954197,0.0325499455943808,1.89135883931722,1,5
0.5,CDK2_obs,0.0940676635700192,0.100360430411318,0.0341304516704898,0.0339937604777462,1,6
0.5,CDK4_obs,0.293427306759578,0.34827238204489,0.0441851607935733,1.54071529673082,1,6
0.5,CDKN1A_obs,0.215812862128333,0.371061043973718,0.0540335187959872,8.25517993579407,1,6
0.5,PCNA_obs,0.223244945349807,0.280900750055715,0.0498468725459042,1.33785869429273,1,6
0.5,RB1_obs,0.215105783558041,0.215870626204569,0.0391986861284036,0.000380716036228324,1,6
0.5,TP53_obs,0.115147130498392,0.131500856865511,0.0342785241776152,0.227608890818789,1,6
0,CDK2_obs,0.183112060790425,0.165378212219373,0.0554699670811178,0.102209243796672,1,7
0,CDK4_obs,0.503313296062954,0.480312244962759,0.0493668521226767,0.217082340344783,1,7
0,CDKN1A_obs,0.169421269644951,0.157275603908751,0.0443704846827953,0.0749297534693724,1,7
0,PCNA_obs,0.32708932854114,0.288785071057895,0.0509387735180004,0.565453801549553,1,7
0,RB1_obs,0.289162853557726,0.289017433475007,0.0516245055007946,7.93481791761882e-06,1,7
0,TP53_obs,0.163297693461501,0.216808254220625,0.0557088454410421,0.922636621206249,1,7
